iter	Passed	Remaining
0	14	14977
1	28	14013
2	42	14273
3	57	14296
4	72	14349
5	87	14533
6	103	14688
7	126	15722
8	141	15629
9	156	15486
10	170	15298
11	185	15298
12	203	15484
13	220	15543
14	236	15532
15	254	15632
16	273	15803
17	286	15615
18	298	15432
19	313	15364
20	327	15260
21	343	15264
22	355	15121
23	369	15007
24	386	15080
25	405	15182
26	418	15080
27	431	14991
28	444	14893
29	459	14854
30	471	14730
31	483	14639
32	496	14553
33	510	14516
34	524	14448
35	537	14400
36	549	14310
37	564	14296
38	580	14302
39	594	14258
40	611	14296
41	629	14364
42	645	14373
43	659	14337
44	675	14338
45	690	14310
46	708	14375
47	726	14415
48	743	14437
49	764	14520
50	780	14532
51	794	14487
52	806	14416
53	821	14391
54	836	14373
55	848	14307
56	861	14256
57	875	14223
58	889	14188
59	904	14173
60	922	14194
61	934	14131
62	946	14078
63	960	14049
64	976	14050
65	993	14054
66	1009	14055
67	1025	14062
68	1041	14049
69	1055	14022
70	1069	13998
71	1085	13991
72	1101	13991
73	1117	13985
74	1136	14022
75	1153	14024
76	1173	14066
77	1186	14028
78	1200	14000
79	1214	13967
80	1229	13944
81	1242	13913
82	1256	13879
83	1268	13835
84	1280	13786
85	1295	13766
86	1308	13736
87	1322	13705
88	1335	13665
89	1348	13634
90	1363	13618
91	1377	13598
92	1392	13579
93	1405	13544
94	1420	13527
95	1436	13529
96	1454	13537
97	1466	13499
98	1481	13483
99	1495	13459
100	1509	13436
101	1524	13418
102	1538	13399
103	1553	13383
104	1567	13364
105	1580	13328
106	1593	13300
107	1606	13269
108	1620	13247
109	1633	13218
110	1646	13188
111	1661	13172
112	1674	13147
113	1689	13129
114	1705	13124
115	1722	13123
116	1737	13111
117	1758	13146
118	1861	13780
119	1888	13850
120	1908	13865
121	1924	13852
122	1949	13902
123	1967	13898
124	1983	13881
125	1998	13865
126	2016	13858
127	2033	13856
128	2050	13844
129	2065	13825
130	2082	13812
131	2098	13798
132	2116	13795
133	2132	13782
134	2150	13777
135	2167	13768
136	2183	13757
137	2199	13739
138	2216	13732
139	2234	13723
140	2249	13705
141	2265	13691
142	2282	13677
143	2300	13675
144	2316	13662
145	2335	13659
146	2351	13645
147	2367	13630
148	2385	13622
149	2402	13611
150	2418	13598
151	2434	13579
152	2451	13572
153	2473	13590
154	2489	13571
155	2506	13558
156	2521	13540
157	2536	13517
158	2553	13504
159	2569	13488
160	2585	13473
161	2601	13458
162	2617	13441
163	2634	13426
164	2650	13414
165	2667	13399
166	2683	13385
167	2699	13370
168	2715	13353
169	2732	13343
170	2749	13328
171	2765	13315
172	2782	13302
173	2798	13285
174	2814	13268
175	2829	13245
176	2845	13229
177	2861	13213
178	2877	13197
179	2893	13180
180	2909	13164
181	2924	13145
182	2940	13128
183	2957	13113
184	2975	13106
185	2990	13087
186	3007	13075
187	3024	13061
188	3039	13041
189	3055	13025
190	3071	13008
191	3089	13001
192	3106	12988
193	3124	12980
194	3140	12963
195	3157	12952
196	3174	12940
197	3190	12924
198	3207	12910
199	3221	12886
200	3237	12871
201	3254	12856
202	3270	12840
203	3286	12825
204	3302	12808
205	3319	12793
206	3335	12777
207	3350	12757
208	3366	12741
209	3382	12722
210	3398	12707
211	3415	12695
212	3431	12677
213	3446	12660
214	3462	12641
215	3477	12622
216	3495	12613
217	3512	12600
218	3529	12587
219	3546	12574
220	3563	12561
221	3578	12541
222	3594	12524
223	3610	12509
224	3626	12489
225	3641	12472
226	3657	12455
227	3679	12457
228	3704	12471
229	3727	12478
230	3750	12484
231	3769	12477
232	3791	12480
233	3817	12495
234	3836	12488
235	3858	12491
236	3873	12470
237	3893	12466
238	3914	12464
239	3930	12446
240	3949	12437
241	3965	12421
242	3981	12403
243	3998	12389
244	4016	12376
245	4037	12374
246	4055	12362
247	4073	12350
248	4089	12335
249	4106	12319
250	4121	12299
251	4137	12280
252	4151	12257
253	4167	12240
254	4186	12230
255	4201	12211
256	4217	12193
257	4234	12178
258	4250	12161
259	4265	12141
260	4284	12132
261	4305	12127
262	4324	12118
263	4344	12112
264	4364	12104
265	4383	12095
266	4402	12085
267	4421	12077
268	4439	12065
269	4458	12054
270	4478	12048
271	4498	12039
272	4518	12034
273	4542	12034
274	4558	12018
275	4575	12003
276	4591	11984
277	4607	11966
278	4624	11950
279	4638	11927
280	4653	11907
281	4670	11890
282	4685	11870
283	4713	11882
284	4731	11871
285	4753	11867
286	4773	11858
287	4794	11854
288	4818	11855
289	4840	11850
290	4864	11852
291	4881	11835
292	4897	11816
293	4912	11797
294	4928	11778
295	4944	11760
296	4968	11761
297	4986	11746
298	5005	11734
299	5020	11714
300	5037	11697
301	5057	11688
302	5073	11671
303	5091	11655
304	5107	11638
305	5127	11629
306	5147	11618
307	5163	11601
308	5180	11584
